Default List,Default Card,Redesigned List,Redesigned Card,Carousel
0.25,0.25,1,0.5,1
0.142857143,0.5,1,1,1
0.055555556,0.071428571,1,0.25,1
0.333333333,1,1,0.5,1
0.125,0.5,0.5,1,1
1,1,1,1,1
0.25,1,1,0.1,1
1,1,1,0.333333333,1
0.5,1,1,1,1
1,1,1,1,1
0.5,0.166666667,1,0.5,1
1,0.5,1,1,1
0.076923077,0.5,1,1,1
0.035714286,1,1,1,1
0.111111111,0.166666667,1,0.142857143,1
1,0.25,1,1,0.5
0.111111111,0.25,0.25,0.1,1
0.333333333,0.5,1,0.2,1
0.037037037,0.2,0.2,0.1,1
0.142857143,0.333333333,1,1,1
0.045454545,0.333333333,1,0.25,1
1,0.5,1,1,0.333333333
1,1,1,0.5,1
1,1,1,1,1
0.058823529,0.5,1,1,1
1,1,1,1,1
0.333333333,0.166666667,1,0.111111111,1
1,0.25,0.5,0.5,0.333333333
0.333333333,0.5,1,1,0.333333333
0.333333333,1,1,1,0.5
0.5,0.5,1,0.5,1
0.333333333,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0.333333333,1
1,1,1,1,1
0.333333333,1,1,1,1
0.142857143,0.25,1,0.5,1
0.2,1,0.333333333,1,1
0.333333333,1,1,1,1
0.2,0.5,1,0.25,1
1,0.5,1,1,1
